id_compra,id_cliente,fecha_hora
1,1,2025-04-08 03:21:15
2,1,2025-03-30 10:05:58
3,2,2024-08-26 05:58:53
4,2,2024-08-23 03:12:08
5,2,2025-02-24 19:10:46
6,2,2025-07-31 13:31:41
7,2,2025-01-09 11:59:33
8,3,2025-08-13 07:49:24
9,3,2025-02-27 07:09:35
10,3,2025-08-19 00:30:32
11,3,2024-07-15 21:59:43
12,3,2025-03-02 17:18:35
13,4,2024-10-13 23:42:53
14,4,2026-02-21 00:27:55
15,4,2025-04-15 13:15:00
16,4,2024-12-13 12:59:04
17,4,2024-11-01 05:03:58
18,4,2025-11-02 13:36:40
19,4,2024-09-10 01:00:14
20,4,2024-09-03 22:21:43
21,4,2025-09-13 17:57:18
22,5,2025-11-01 01:24:47
23,5,2025-04-18 14:38:40
24,5,2024-07-04 12:01:14
25,6,2025-01-24 17:12:21
26,6,2025-05-28 15:29:36
27,6,2026-02-19 18:13:37
28,6,2025-11-22 10:54:54
29,6,2025-11-13 12:22:57
30,6,2024-10-10 19:42:40
31,7,2024-10-01 08:25:58
32,7,2024-06-23 10:12:43
33,7,2025-02-07 21:47:56
34,8,2024-12-01 19:54:00
35,8,2025-09-18 21:21:45
36,8,2026-05-13 07:07:16
37,8,2025-06-09 17:35:18
38,9,2025-11-18 02:05:00
39,9,2024-06-14 19:41:01
40,9,2025-06-14 03:11:33
41,9,2025-06-15 04:30:44
42,10,2025-01-07 03:19:07
43,10,2025-03-18 14:29:33
44,10,2025-12-13 18:08:05
45,10,2025-01-11 16:54:46
46,10,2025-01-25 11:47:46
47,10,2025-06-17 09:27:57
48,10,2025-12-25 14:15:16
49,10,2025-12-03 16:50:13
50,11,2026-02-12 22:54:33
51,11,2024-07-23 10:03:38
52,12,2026-04-11 02:36:43
53,12,2025-07-27 10:53:29
54,12,2025-11-18 16:32:25
55,13,2026-05-02 23:43:32
56,13,2025-11-18 16:49:45
57,13,2026-01-30 10:51:09
58,13,2024-09-24 05:48:02
59,13,2026-05-23 19:42:44
60,14,2025-10-19 22:08:08
61,14,2026-05-05 20:27:57
62,15,2024-11-09 03:29:55
63,15,2024-08-10 10:58:14
64,15,2025-05-20 01:54:06
65,15,2026-01-13 11:20:32
66,16,2024-07-28 17:09:45
67,16,2025-01-20 01:29:07
68,16,2025-04-08 14:36:41
69,16,2026-01-09 17:32:37
70,16,2024-08-05 09:48:39
71,16,2026-03-10 12:29:17
72,16,2025-10-02 01:38:54
73,17,2025-08-27 21:21:03
74,17,2025-02-27 15:38:38
75,17,2025-12-27 18:10:25
76,17,2024-12-15 19:16:07
77,18,2025-08-31 05:12:47
78,18,2025-01-06 21:01:37
79,18,2025-05-02 13:11:40
80,19,2026-04-21 02:15:56
81,20,2026-02-15 01:28:48
82,20,2025-06-21 19:09:36
83,20,2026-02-23 18:54:11
84,20,2025-04-06 08:15:40
85,20,2025-04-22 09:54:57
86,20,2024-09-20 02:42:04
87,20,2026-04-18 06:47:28
88,20,2025-04-21 20:19:43
89,20,2024-10-27 00:45:06
90,20,2024-12-19 03:43:50
91,20,2025-02-18 03:26:37
92,21,2025-12-07 12:09:46
93,21,2026-01-19 20:44:38
94,21,2025-08-30 22:28:56
95,21,2025-03-28 08:47:08
96,21,2026-05-27 04:09:14
97,23,2024-06-11 12:44:56
98,23,2025-03-18 13:26:30
99,23,2024-12-06 15:27:19
100,23,2024-06-19 22:41:53
101,23,2024-09-24 11:02:37
102,23,2026-01-12 04:07:23
103,24,2025-04-03 22:07:33
104,24,2024-08-05 14:21:13
105,24,2026-01-05 01:02:54
106,24,2025-07-29 15:02:59
107,24,2025-01-29 07:54:10
108,25,2024-06-22 03:32:10
109,25,2024-09-18 03:31:35
110,25,2025-03-26 20:18:41
111,25,2025-06-21 23:42:46
112,25,2026-03-02 19:34:14
113,25,2025-08-14 20:43:05
114,25,2026-05-15 00:43:52
115,25,2025-05-23 16:14:09
116,25,2024-06-13 23:41:09
117,26,2024-11-24 05:03:25
118,27,2026-05-14 17:54:01
119,27,2025-04-06 22:43:15
120,27,2025-07-15 21:23:47
121,27,2025-04-17 01:29:25
122,27,2024-07-16 23:35:23
123,28,2025-02-21 04:39:09
124,28,2026-05-31 06:31:45
125,28,2026-03-02 12:58:42
126,30,2024-07-19 15:15:06
127,30,2025-04-10 21:57:42
128,30,2024-12-10 01:45:17
129,31,2024-07-11 15:10:28
130,32,2025-04-13 03:11:58
131,32,2025-04-12 19:25:42
132,33,2024-12-11 18:48:08
133,34,2025-05-12 10:50:15
134,34,2026-03-15 11:03:41
135,34,2024-06-15 20:54:37
136,35,2025-03-24 12:16:51
137,35,2024-07-13 13:31:57
138,35,2024-09-17 18:41:14
139,36,2025-12-29 02:35:52
140,36,2025-07-26 17:43:38
141,36,2026-04-29 09:43:54
142,36,2025-10-20 07:25:49
143,36,2024-08-16 12:24:22
144,36,2025-10-24 21:34:09
145,36,2025-10-14 06:19:56
146,36,2025-05-08 12:55:27
147,37,2025-01-01 23:15:42
148,37,2026-03-21 19:38:03
149,37,2024-06-15 14:23:49
150,37,2025-10-06 22:18:02
151,37,2025-08-06 16:53:03
152,37,2025-09-08 21:47:46
153,37,2024-09-11 02:41:41
154,37,2024-06-17 21:06:14
155,38,2026-04-08 00:45:11
156,38,2024-11-24 10:09:38
157,38,2025-09-08 00:47:35
158,39,2024-07-13 09:31:24
159,39,2025-09-12 11:29:15
160,39,2024-09-09 05:37:51
161,39,2024-10-15 11:07:22
162,39,2024-07-24 23:17:21
163,40,2026-02-25 00:29:53
164,40,2026-01-05 18:08:19
165,40,2024-12-10 15:48:07
166,41,2025-10-18 18:35:08
167,41,2024-07-01 18:06:13
168,41,2024-09-28 13:44:25
169,41,2025-03-19 18:02:40
170,43,2024-09-22 10:20:50
171,44,2024-06-27 11:26:44
172,44,2025-09-24 20:43:16
173,45,2024-12-30 02:28:59
174,45,2025-02-27 15:47:31
175,45,2024-10-10 03:49:01
176,45,2025-11-26 04:40:50
177,45,2024-11-11 17:50:52
178,45,2026-01-26 10:14:04
179,45,2025-06-01 17:17:23
180,46,2026-01-18 08:03:28
181,46,2025-03-24 13:27:09
182,46,2025-08-24 21:11:08
183,46,2025-06-07 11:39:43
184,47,2025-12-02 01:30:06
185,47,2025-09-16 10:23:00
186,48,2025-03-21 04:11:19
187,48,2024-12-06 00:05:45
188,48,2026-04-06 09:21:51
189,48,2024-09-04 10:57:16
190,48,2025-08-29 14:02:52
191,48,2025-10-26 16:13:08
192,49,2026-03-11 16:33:13
193,50,2024-11-01 08:50:08
194,50,2025-04-10 04:17:52
195,50,2024-07-11 17:35:57
196,50,2024-07-17 20:28:25
197,50,2025-10-06 11:47:58
198,50,2025-12-17 23:32:17
199,50,2025-07-28 17:09:25
200,51,2025-05-09 15:55:14
201,51,2024-07-12 18:32:21
202,51,2024-09-20 17:11:36
203,51,2026-04-10 17:14:08
204,52,2025-06-04 08:40:46
205,52,2025-03-07 07:25:04
206,52,2026-05-22 19:26:01
207,53,2026-03-04 04:37:20
208,54,2025-06-27 07:07:27
209,54,2026-06-05 04:18:46
210,54,2025-01-24 17:20:20
211,54,2025-11-05 05:51:39
212,54,2025-02-14 05:33:48
213,54,2024-12-26 14:32:45
214,55,2026-03-01 13:06:20
